fiscal_year,fund,department,tag_peoples_budget,class,total
2023,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2040000
2023,General Fund,Auditing (City Controller),Government Operations,Personal Services,9092764
2023,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,621859
2023,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",19780
2023,General Fund,Board of Ethics,Government Operations,Personal Services,932874
2023,General Fund,Board of Ethics,Government Operations,Purchase of Services,75010
2023,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",1031
2023,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,1012612
2023,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,62010
2023,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",17556
2023,General Fund,City Commissioners,Government Operations,Personal Services,9116587
2023,General Fund,City Commissioners,Government Operations,Purchase of Services,12342978
2023,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",6467457
2023,General Fund,City Commissioners,Government Operations,"Contrib., Indemnities & Taxes",292500
2023,General Fund,City Council,Government Operations,Personal Services,14095159
2023,General Fund,City Council,Government Operations,Purchase of Services,2969751
2023,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",577149
2023,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",0
2023,General Fund,City Council,Government Operations,Payments to Other Funds,0
2023,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,0
2023,General Fund,City Treasurer,Government Operations,Personal Services,1579598
2023,General Fund,City Treasurer,Government Operations,Purchase of Services,3197024
2023,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",20741
2023,General Fund,Civil Service Commission,Government Operations,Personal Services,153540
2023,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2023,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",0
2023,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,0
2023,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,3614784
2023,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,8216653
2023,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",62619
2023,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",505000
2023,General Fund,Commerce - Convention Center Subsidy,Government Operations,Purchase of Services,15000000
2023,General Fund,Commerce - Economic Stimulus,Government Operations,Purchase of Services,16720961
2023,General Fund,District Attorney,Courts & the Justice System,Personal Services,43824953
2023,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,3793483
2023,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",631264
2023,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",1875000
2023,General Fund,Finance,Government Operations,Personal Services,10658385
2023,General Fund,Finance,Government Operations,Purchase of Services,7679057
2023,General Fund,Finance,Government Operations,"Materials, Supplies & Equip.",38124
2023,General Fund,Finance,Government Operations,"Contrib., Indemnities & Taxes",43788357
2023,General Fund,Finance,Government Operations,Payments to Other Funds,165066068
2023,General Fund,Finance,Government Operations,Advances and Other Misc. Payments,0
2023,General Fund,Finance - Budget Stabilization,Government Operations,Payments to Other Funds,65128000
2023,General Fund,Finance - Community College Subsidy,Government Operations,"Contrib., Indemnities & Taxes",67126386
2023,General Fund,Finance - Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,1625941393
2023,General Fund,Finance - Hero Scholarship Awards,Government Operations,"Contrib., Indemnities & Taxes",24000
2023,General Fund,Finance - Indemnities,Government Operations,"Contrib., Indemnities & Taxes",10792504
2023,General Fund,Finance - Reg #32,Government Operations,Personal Services,4334997
2023,General Fund,Finance - Refunds,Government Operations,"Contrib., Indemnities & Taxes",124150
2023,General Fund,Finance - School District Contribution,Government Operations,"Contrib., Indemnities & Taxes",269953201
2023,General Fund,Finance - Witness Fees,Government Operations,Purchase of Services,170900
2023,General Fund,Fire,Emergency Services,Personal Services,354132093
2023,General Fund,Fire,Emergency Services,Purchase of Services,8892787
2023,General Fund,Fire,Emergency Services,"Materials, Supplies & Equip.",24495693
2023,General Fund,Fire,Emergency Services,"Contrib., Indemnities & Taxes",1150294
2023,General Fund,Fire,Emergency Services,Payments to Other Funds,7055640
2023,General Fund,First Judicial District,Courts & the Justice System,Personal Services,102223039
2023,General Fund,First Judicial District,Courts & the Justice System,Purchase of Services,17690618
2023,General Fund,First Judicial District,Courts & the Justice System,"Materials, Supplies & Equip.",2567199
2023,General Fund,Fleet Services,Government Operations,Personal Services,19228085
2023,General Fund,Fleet Services,Government Operations,Purchase of Services,6345115
2023,General Fund,Fleet Services,Government Operations,"Materials, Supplies & Equip.",30148480
2023,General Fund,Fleet Services,Government Operations,"Contrib., Indemnities & Taxes",7170
2023,General Fund,Fleet Services - Vehicle Lease/Purch.,Government Operations,"Materials, Supplies & Equip.",22582373
2023,General Fund,Fleet Services - Vehicle Lease/Purch.,Government Operations,Payments to Other Funds,0
2023,General Fund,Free Library,Libraries,Personal Services,39779422
2023,General Fund,Free Library,Libraries,Purchase of Services,2835081
2023,General Fund,Free Library,Libraries,"Materials, Supplies & Equip.",7836584
2023,General Fund,Free Library,Libraries,"Contrib., Indemnities & Taxes",82500
2023,General Fund,Human Relations Commission,Government Operations,Personal Services,2340114
2023,General Fund,Human Relations Commission,Government Operations,Purchase of Services,22124
2023,General Fund,Human Relations Commission,Government Operations,"Materials, Supplies & Equip.",25668
2023,General Fund,Human Services,Youth Services,Personal Services,32334996
2023,General Fund,Human Services,Youth Services,Purchase of Services,150959985
2023,General Fund,Human Services,Youth Services,"Materials, Supplies & Equip.",1242535
2023,General Fund,Human Services,Youth Services,"Contrib., Indemnities & Taxes",215204
2023,General Fund,Labor,Government Operations,Personal Services,2766257
2023,General Fund,Labor,Government Operations,Purchase of Services,600483
2023,General Fund,Labor,Government Operations,"Materials, Supplies & Equip.",23303
2023,General Fund,Law,Government Operations,Personal Services,15665381
2023,General Fund,Law,Government Operations,Purchase of Services,9048162
2023,General Fund,Law,Government Operations,"Materials, Supplies & Equip.",174151
2023,General Fund,Licenses & Inspection,Government Operations,Personal Services,24116397
2023,General Fund,Licenses & Inspection,Government Operations,Purchase of Services,14186995
2023,General Fund,Licenses & Inspection,Government Operations,"Materials, Supplies & Equip.",614012
2023,General Fund,L&I - Board of Building Standards,Government Operations,Personal Services,83357
2023,General Fund,L&I - Board of L&I Review,Government Operations,Personal Services,169767
2023,General Fund,L&I - Board of L&I Review,Government Operations,Purchase of Services,10436
2023,General Fund,Managing Director,Government Operations,Personal Services,26916485
2023,General Fund,Managing Director,Government Operations,Purchase of Services,71156341
2023,General Fund,Managing Director,Government Operations,"Materials, Supplies & Equip.",5670248
2023,General Fund,Managing Director,Government Operations,"Contrib., Indemnities & Taxes",6340000
2023,General Fund,Managing Director,Government Operations,Payments to Other Funds,0
2023,General Fund,Managing Director - Defenders Association,Government Operations,Purchase of Services,54283600
2023,General Fund,Managing Director - Citizens Police Oversight Commission,Government Operations,Personal Services,1080870
