fiscal_year,fund,department,tag_peoples_budget,class,total
2023,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2040000
2023,General Fund,Auditing (City Controller),Government Operations,Personal Services,10285869
2023,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,497450
2023,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",25000
2023,General Fund,Board of Ethics,Government Operations,Personal Services,1121902
2023,General Fund,Board of Ethics,Government Operations,Purchase of Services,52500
2023,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",7500
2023,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,1057610
2023,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,37900
2023,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",17727
2023,General Fund,City Commissioners,Government Operations,Personal Services,10927174
2023,General Fund,City Commissioners,Government Operations,Purchase of Services,15485101
2023,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",2649217
2023,General Fund,City Commissioners,Government Operations,"Contrib., Indemnities & Taxes",0
2023,General Fund,City Council,Government Operations,Personal Services,16325560
2023,General Fund,City Council,Government Operations,Purchase of Services,5021885
2023,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",528650
2023,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",100
2023,General Fund,City Council,Government Operations,Payments to Other Funds,100
2023,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,100
2023,General Fund,City Treasurer,Government Operations,Personal Services,1579598
2023,General Fund,City Treasurer,Government Operations,Purchase of Services,3116468
2023,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",22224
2023,General Fund,Civil Service Commission,Government Operations,Personal Services,180988
2023,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2023,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",1094
2023,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,54000000
2023,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,5380613
2023,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,9560549
2023,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",62654
2023,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",505000
2023,General Fund,Commerce - Convention Center Subsidy,Government Operations,Purchase of Services,15000000
2023,General Fund,Commerce - Economic Stimulus,Government Operations,Purchase of Services,13334550
2023,General Fund,District Attorney,Courts & the Justice System,Personal Services,40467055
2023,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,3343738
2023,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",533417
2023,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2023,General Fund,Finance,Government Operations,Personal Services,10863735
2023,General Fund,Finance,Government Operations,Purchase of Services,4002420
2023,General Fund,Finance,Government Operations,"Materials, Supplies & Equip.",38616
2023,General Fund,Finance,Government Operations,"Contrib., Indemnities & Taxes",7820000
2023,General Fund,Finance,Government Operations,Payments to Other Funds,34066068
2023,General Fund,Finance,Government Operations,Advances and Other Misc. Payments,32000000
2023,General Fund,Finance - Budget Stabilization,Government Operations,Payments to Other Funds,40128000
2023,General Fund,Finance - Community College Subsidy,Government Operations,"Contrib., Indemnities & Taxes",50106653
2023,General Fund,Finance - Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,1603509081
2023,General Fund,Finance - Hero Scholarship Awards,Government Operations,"Contrib., Indemnities & Taxes",50000
2023,General Fund,Finance - Indemnities,Government Operations,"Contrib., Indemnities & Taxes",67246000
2023,General Fund,Finance - Reg #32,Government Operations,Personal Services,2800000
2023,General Fund,Finance - Refunds,Government Operations,"Contrib., Indemnities & Taxes",250000
2023,General Fund,Finance - School District Contribution,Government Operations,"Contrib., Indemnities & Taxes",269953201
2023,General Fund,Finance - Witness Fees,Government Operations,Purchase of Services,171518
2023,General Fund,Fire,Emergency Services,Personal Services,354321176
2023,General Fund,Fire,Emergency Services,Purchase of Services,7068282
2023,General Fund,Fire,Emergency Services,"Materials, Supplies & Equip.",12445064
2023,General Fund,Fire,Emergency Services,"Contrib., Indemnities & Taxes",0
2023,General Fund,Fire,Emergency Services,Payments to Other Funds,7055640
2023,General Fund,First Judicial District,Courts & the Justice System,Personal Services,111144985
2023,General Fund,First Judicial District,Courts & the Justice System,Purchase of Services,8643039
2023,General Fund,First Judicial District,Courts & the Justice System,"Materials, Supplies & Equip.",2231868
2023,General Fund,First Judicial District,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2023,General Fund,Fleet Services,Government Operations,Personal Services,20534432
2023,General Fund,Fleet Services,Government Operations,Purchase of Services,5449396
2023,General Fund,Fleet Services,Government Operations,"Materials, Supplies & Equip.",32257642
2023,General Fund,Fleet Services,Government Operations,"Contrib., Indemnities & Taxes",0
2023,General Fund,Fleet Services - Vehicle Lease/Purch.,Government Operations,"Materials, Supplies & Equip.",12507852
2023,General Fund,Free Library,Libraries,Personal Services,50911555
2023,General Fund,Free Library,Libraries,Purchase of Services,3496262
2023,General Fund,Free Library,Libraries,"Materials, Supplies & Equip.",4042128
2023,General Fund,Free Library,Libraries,"Contrib., Indemnities & Taxes",0
2023,General Fund,Human Relations Commission,Government Operations,Personal Services,2502372
2023,General Fund,Human Relations Commission,Government Operations,Purchase of Services,43333
2023,General Fund,Human Relations Commission,Government Operations,"Materials, Supplies & Equip.",28031
2023,General Fund,Human Services,Youth Services,Personal Services,34466970
2023,General Fund,Human Services,Youth Services,Purchase of Services,152645655
2023,General Fund,Human Services,Youth Services,"Materials, Supplies & Equip.",2111970
2023,General Fund,Human Services,Youth Services,"Contrib., Indemnities & Taxes",0
2023,General Fund,Labor,Government Operations,Personal Services,3460299
2023,General Fund,Labor,Government Operations,Purchase of Services,519617
2023,General Fund,Labor,Government Operations,"Materials, Supplies & Equip.",24420
2023,General Fund,Law,Government Operations,Personal Services,15705718
2023,General Fund,Law,Government Operations,Purchase of Services,5979915
2023,General Fund,Law,Government Operations,"Materials, Supplies & Equip.",190676
2023,General Fund,Law,Government Operations,"Contrib., Indemnities & Taxes",0
2023,General Fund,Licenses & Inspection,Government Operations,Personal Services,26670602
2023,General Fund,Licenses & Inspection,Government Operations,Purchase of Services,14146162
2023,General Fund,Licenses & Inspection,Government Operations,"Materials, Supplies & Equip.",809475
2023,General Fund,Licenses & Inspection,Government Operations,"Contrib., Indemnities & Taxes",0
2023,General Fund,L&I - Board of Building Standards,Government Operations,Personal Services,84116
2023,General Fund,L&I - Board of L&I Review,Government Operations,Personal Services,170377
2023,General Fund,L&I - Board of L&I Review,Government Operations,Purchase of Services,10436
2023,General Fund,Managing Director,Government Operations,Personal Services,35167882
2023,General Fund,Managing Director,Government Operations,Purchase of Services,90753102
2023,General Fund,Managing Director,Government Operations,"Materials, Supplies & Equip.",2416018
2023,General Fund,Managing Director,Government Operations,"Contrib., Indemnities & Taxes",4300000
2023,General Fund,Managing Director,Government Operations,Payments to Other Funds,0
2023,General Fund,Managing Director - Legal Services,Government Operations,Purchase of Services,59844449
2023,General Fund,Managing Director - Citizens Police Oversight Commission,Government Operations,Personal Services,1085500
2023,General Fund,Managing Director - Citizens Police Oversight Commission,Government Operations,Purchase of Services,1315070
2023,General Fund,Managing Director - Citizens Police Oversight Commission,Government Operations,"Materials, Supplies & Equip.",2000
2023,General Fund,Mayor's Office,Government Operations,Personal Services,6301957
2023,General Fund,Mayor's Office,Government Operations,Purchase of Services,815680
2023,General Fund,Mayor's Office,Government Operations,"Materials, Supplies & Equip.",31341
2023,General Fund,Mayor's Office,Government Operations,"Contrib., Indemnities & Taxes",0
2023,General Fund,Mayor's Office - Scholarships,Government Operations,"Contrib., Indemnities & Taxes",100000
2023,General Fund,Mural Arts Program,Arts & Culture,Personal Services,610850
2023,General Fund,Mural Arts Program,Arts & Culture,Purchase of Services,2670610
2023,General Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Personal Services,3590639
2023,General Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Purchase of Services,23723599
2023,General Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,"Materials, Supplies & Equip.",0
2023,General Fund,Office of the Chief Administrative Officer,Government Operations,Personal Services,6368435
2023,General Fund,Office of the Chief Administrative Officer,Government Operations,Purchase of Services,6427056
2023,General Fund,Office of the Chief Administrative Officer,Government Operations,"Materials, Supplies & Equip.",2082265
2023,General Fund,Office of Community Empowerment and Opportunity,Immigration Services,Personal Services,177185
2023,General Fund,Office of Community Empowerment and Opportunity,Immigration Services,Purchase of Services,1714007
2023,General Fund,Office of Community Empowerment and Opportunity,Immigration Services,"Materials, Supplies & Equip.",3808
2023,General Fund,Office of Children and Families,Government Operations,Personal Services,463413
2023,General Fund,Office of Children and Families,Government Operations,Purchase of Services,0
2023,General Fund,Office of Children and Families,Government Operations,"Materials, Supplies & Equip.",0
2023,General Fund,Office of Children and Families,Government Operations,"Contrib., Indemnities & Taxes",0
2023,General Fund,Office of Homeless Services,Housing & Homeless Services,Personal Services,9931274
2023,General Fund,Office of Homeless Services,Housing & Homeless Services,Purchase of Services,58638836
2023,General Fund,Office of Homeless Services,Housing & Homeless Services,"Materials, Supplies & Equip.",344127
2023,General Fund,Office of Homeless Services,Housing & Homeless Services,"Contrib., Indemnities & Taxes",32421
2023,General Fund,Office of Human Resources,Government Operations,Personal Services,6042760
2023,General Fund,Office of Human Resources,Government Operations,Purchase of Services,1306067
2023,General Fund,Office of Human Resources,Government Operations,"Materials, Supplies & Equip.",69432
2023,General Fund,Office of Human Resources,Government Operations,"Contrib., Indemnities & Taxes",0
2023,General Fund,Office of Innovation and Technology,Government Operations,Personal Services,31377472
2023,General Fund,Office of Innovation and Technology,Government Operations,Purchase of Services,57268720
2023,General Fund,Office of Innovation and Technology,Government Operations,"Materials, Supplies & Equip.",2986610
2023,General Fund,Office of Innovation and Technology,Government Operations,"Contrib., Indemnities & Taxes",0
2023,General Fund,Office of Innovation and Technology - 911,Government Operations,Personal Services,1416547
2023,General Fund,Office of Innovation and Technology - 911,Government Operations,Purchase of Services,20150466
2023,General Fund,Office of Innovation and Technology - 911,Government Operations,"Materials, Supplies & Equip.",8064399
2023,General Fund,Office of the Inspector General,Government Operations,Personal Services,2192863
2023,General Fund,Office of the Inspector General,Government Operations,Purchase of Services,97975
2023,General Fund,Office of the Inspector General,Government Operations,"Materials, Supplies & Equip.",5225
2023,General Fund,Office of Property Assessment,Government Operations,Personal Services,15569756
2023,General Fund,Office of Property Assessment,Government Operations,Purchase of Services,1926020
2023,General Fund,Office of Property Assessment,Government Operations,"Materials, Supplies & Equip.",362600
2023,General Fund,Office of Sustainability,Government Operations,Personal Services,971635
2023,General Fund,Office of Sustainability,Government Operations,Purchase of Services,516366
2023,General Fund,Office of Sustainability,Government Operations,"Materials, Supplies & Equip.",1000
2023,General Fund,Office of Sustainability,Government Operations,Payments to Other Funds,175000
2023,General Fund,Parks and Recreation,Parks & Recreation,Personal Services,61031936
2023,General Fund,Parks and Recreation,Parks & Recreation,Purchase of Services,7674442
2023,General Fund,Parks and Recreation,Parks & Recreation,"Materials, Supplies & Equip.",2930025
2023,General Fund,Parks and Recreation,Parks & Recreation,"Contrib., Indemnities & Taxes",1500000
2023,General Fund,Parks and Recreation,Parks & Recreation,Payments to Other Funds,0
2023,General Fund,Planning and Development,Housing & Homeless Services,Personal Services,5783913
2023,General Fund,Planning and Development,Housing & Homeless Services,Purchase of Services,21339463
2023,General Fund,Planning and Development,Housing & Homeless Services,"Materials, Supplies & Equip.",89761
2023,General Fund,Planning and Development,Housing & Homeless Services,"Contrib., Indemnities & Taxes",3000000
2023,General Fund,Police,Police,Personal Services,753577996
2023,General Fund,Police,Police,Purchase of Services,12917116
2023,General Fund,Police,Police,"Materials, Supplies & Equip.",16549152
2023,General Fund,Police,Police,"Contrib., Indemnities & Taxes",0
2023,General Fund,Police,Police,Payments to Other Funds,5000000
2023,General Fund,Prisons,Courts & the Justice System,Personal Services,135537939
2023,General Fund,Prisons,Courts & the Justice System,Purchase of Services,104696211
2023,General Fund,Prisons,Courts & the Justice System,"Materials, Supplies & Equip.",4674595
2023,General Fund,Prisons,Courts & the Justice System,"Contrib., Indemnities & Taxes",1201757
2023,General Fund,Procurement,Government Operations,Personal Services,3404302
2023,General Fund,Procurement,Government Operations,Purchase of Services,3431115
2023,General Fund,Procurement,Government Operations,"Materials, Supplies & Equip.",39359
2023,General Fund,Public Health,Public Health Centers,Personal Services,62755979
2023,General Fund,Public Health,Public Health Centers,Purchase of Services,90784022
2023,General Fund,Public Health,Public Health Centers,"Materials, Supplies & Equip.",6746403
2023,General Fund,Public Health,Public Health Centers,"Contrib., Indemnities & Taxes",0
2023,General Fund,Public Health,Public Health Centers,Payments to Other Funds,923404
2023,General Fund,Public Property,Government Operations,Personal Services,12050817
2023,General Fund,Public Property,Government Operations,Purchase of Services,37608915
2023,General Fund,Public Property,Government Operations,"Materials, Supplies & Equip.",1338535
2023,General Fund,Public Property,Government Operations,"Contrib., Indemnities & Taxes",0
2023,General Fund,Public Property,Government Operations,Payments to Other Funds,27184004
2023,General Fund,Public Property - SEPTA Subsidy,Government Operations,Purchase of Services,100699000
2023,General Fund,Public Property - Space Rentals,Government Operations,Purchase of Services,33293144
2023,General Fund,Public Property - Utilities,Government Operations,Purchase of Services,32986853
2023,General Fund,Records,Government Operations,Personal Services,3374335
2023,General Fund,Records,Government Operations,Purchase of Services,758985
2023,General Fund,Records,Government Operations,"Materials, Supplies & Equip.",143758
2023,General Fund,Records,Government Operations,"Contrib., Indemnities & Taxes",0
2023,General Fund,Register of Wills,Government Operations,Personal Services,4309771
2023,General Fund,Register of Wills,Government Operations,Purchase of Services,406959
2023,General Fund,Register of Wills,Government Operations,"Materials, Supplies & Equip.",140236
2023,General Fund,Revenue,Government Operations,Personal Services,21927194
2023,General Fund,Revenue,Government Operations,Purchase of Services,5106407
2023,General Fund,Revenue,Government Operations,"Materials, Supplies & Equip.",774976
2023,General Fund,Revenue,Government Operations,"Contrib., Indemnities & Taxes",0
2023,General Fund,Sheriff,Courts & the Justice System,Personal Services,28345027
2023,General Fund,Sheriff,Courts & the Justice System,Purchase of Services,1305267
2023,General Fund,Sheriff,Courts & the Justice System,"Materials, Supplies & Equip.",1203507
2023,General Fund,Sheriff,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2023,General Fund,Sinking Fund Commission (Debt Service),Government Operations,Purchase of Services,115087498
2023,General Fund,Sinking Fund Commission (Debt Service),Government Operations,Debt Service,193710223
2023,General Fund,Streets - Disposal,Government Operations,Purchase of Services,55389886
2023,General Fund,Streets,Streets,Personal Services,122676329
2023,General Fund,Streets,Streets,Purchase of Services,17725345
2023,General Fund,Streets,Streets,"Materials, Supplies & Equip.",21994981
2023,General Fund,Streets,Streets,"Contrib., Indemnities & Taxes",53171
2023,Water Fund,Office of Innovation and Technology,Government Operations,Personal Services,10644369
2023,Water Fund,Office of Innovation and Technology,Government Operations,Purchase of Services,23049397
2023,Water Fund,Office of Innovation and Technology,Government Operations,"Materials, Supplies & Equip.",1541613
2023,Water Fund,Managing Director,Government Operations,Personal Services,138550
2023,Water Fund,Fleet Services,Government Operations,Personal Services,3703717
2023,Water Fund,Fleet Services,Government Operations,Purchase of Services,1489000
2023,Water Fund,Fleet Services,Government Operations,"Materials, Supplies & Equip.",4044640
2023,Water Fund,Public Property,Government Operations,Purchase of Services,4612169
2023,Water Fund,Water,Government Operations,Personal Services,157224789
2023,Water Fund,Water,Government Operations,Purchase of Services,193767302
2023,Water Fund,Water,Government Operations,"Materials, Supplies & Equip.",63974830
2023,Water Fund,Water,Government Operations,"Contrib., Indemnities & Taxes",510000
